project_id,doc_era,pdf_url,doc_type_found,doc_title,found
P010530,PAD,http://documents.worldbank.org/curated/en/665191468779688119/pdf/multi-page.pdf,Project Appraisal Document,Nepal - Irrigation Sector Project,TRUE
P149606,PAD,NA,NA,NA,FALSE
P164783,PAD,NA,NA,NA,FALSE
P010395,SAR,http://documents.worldbank.org/curated/en/181171468122349922/pdf/multi-page.pdf,Staff Appraisal Report,Nepal - Basic and Primary Education Project,TRUE
P130089,PAD,NA,NA,NA,FALSE
P120265,PAD,http://documents.worldbank.org/curated/en/486611468291025313/pdf/592910PAD0P1200e0only0900BOX358335B.pdf,Project Appraisal Document,Nepal - Urban Governance and Development Program: Emerging Town Project,TRUE
P125359,PAD,http://documents.worldbank.org/curated/en/276351468062668345/pdf/656930PAD0Buff0se0Only090Box369268B.pdf,Project Appraisal Document,Nepal - Community Action for Nutrition Project (Sunaula Hazar Din),TRUE
P010330,SAR,http://documents.worldbank.org/curated/en/750351468059679521/pdf/multi-page.pdf,Staff Appraisal Report,Nepal - Hill Community Forestry Project,TRUE
P095977,PAD,http://documents.worldbank.org/curated/en/151851468062636427/pdf/406980NP.pdf,Project Appraisal Document,Nepal - Road Sector Development Project,TRUE
P104015,PAD,http://documents.worldbank.org/curated/en/962331468053350208/pdf/593080PAD0P1041OFFICIAL0USE0ONLY191.pdf,Project Appraisal Document,Nepal - Enhanced Vocational Education and Training Project,TRUE
P154548,PAD,http://documents.worldbank.org/curated/en/609981480906831854/pdf/1480906826924-000A10458-P154548-PAD-for-Board-Nov-8-2016-ym-11112016.pdf,Project Appraisal Document,Nepal - Strengthening Systems for Social Protection and Civil Registration Project,TRUE
P074633,PAD,http://documents.worldbank.org/curated/en/265931468775555585/pdf/27890.pdf,Project Appraisal Document,Nepal - Education for All Project,TRUE
P040613,PAD,http://documents.worldbank.org/curated/en/591851468775534240/pdf/296510NP.pdf,Project Appraisal Document,Nepal - Health Sector Program Project,TRUE
P127508,PAD,http://documents.worldbank.org/curated/en/770011468060865251/pdf/NonAsciiFileName0.pdf,Project Appraisal Document,Nepal - Building Resilience to Climate Related Hazards Project,TRUE
P093294,PAD,http://documents.worldbank.org/curated/en/205081468059677392/pdf/31928.pdf,Project Appraisal Document,Nepal - Economic Reform Technical Assistance Project,TRUE
